Number,Title,Price,Item ID,Global ID,Category,Payment Method,Country,Selling State,Start Time,End Time
7828,"Vintage 3 1/4'' Bright Clear Bail Top Mason Jar Lid, Item # W - 109",5.99,142496118783,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7829,"Vintage 3 1/4'' Bright Clear Bail Top Mason Jar Lid, Item # W - 102",5.99,142496118788,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7830,"Ceramic Cookie Jar 67 OZ Food Storage Canisters, Rose Topped with Airtight Lids,",20.31,272837262351,EBAY-US,Canisters & Jars,PayPal,USA,Active,2017-09-07,2017-12-06
7831,"MASON JARS - MINIATURES - Unfinished Wood - Various SIZES, STYLES & QUANTITIES",6.75,182915020895,EBAY-US,Wooden Pieces,PayPal,"Decatur,IL,USA",Active,2017-11-21,2017-12-21
7832,Vintage   Ball Mason 1 quart Canning Jar With Zinc Lid. 1910-23,5.0,272945107060,EBAY-US,Jars,PayPal,"Saint Petersburg,FL,USA",Active,2017-11-19,2017-11-26
7833,"Antique 3 1/4'' Bright Baby Blue ( Smallet, Lightning Design) Mason Bail Top Lid",6.99,222701443382,EBAY-US,Jars,PayPal,"Berryville,VA,USA",Active,2017-11-01,2017-12-01
7834,Vintage 3 1/4'' Bright Clear Smallmouth Bail Top Mason Jar Lid,5.99,263301374949,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-11-05,2017-12-05
7835,Vintage Style 16oz Ball Mason Jars Wide Mouth Pint w/ Lid Canning Wedding (12pk),34.99,302126547141,EBAY-US,Canisters & Jars,PayPal,"Watertown,MA,USA",Active,2016-11-02,2017-11-27
7836,Ball 62000 1qt Regular Mason Jar 12pk,25.99,302495993662,EBAY-US,Canisters & Jars,PayPal,"Jamestown,TN,USA",Active,2017-10-21,2017-12-20
7837,Vintage Clear Glass Drey Perfect Mason 1/2 Gallon Canning Jar with Zinc Lid,9.99,202121082981,EBAY-US,Jars,PayPal,"Bowie,MD,USA",Active,2017-11-21,2017-11-28
7838,Ball Wide-Mouth Spiral Mason Jars and Lids {Set of 4} 28-oz Canning,17.99,152729802971,EBAY-US,Canisters & Jars,PayPal,USA,Active,2017-10-04,2017-12-03
7839,Golden Harvest Regular Mouth Mason Quart Jars- 32oz. (Case of 12),50.0,272497932082,EBAY-US,Canisters & Jars,PayPal,"Las Vegas,NV,USA",Active,2016-12-25,2017-12-20
7840,LOT of 24 - Ball 16 oz PINT Jars PURPLE Heritage Mason Canning - 4 PACKS of 6,64.99,112212393752,EBAY-US,Canisters & Jars,PayPal,"Eden,WI,USA",Active,2016-11-22,2017-12-17
7841,Vintage Blue Glass Ball Perfect Mason 12 Canning Jar with Zinc Lid,9.99,202122971488,EBAY-US,Jars,PayPal,"Bowie,MD,USA",Active,2017-11-23,2017-11-30
7842,Kerr Self Sealing Mason Jar. Pre Owned. No Lid. Free Shipping!,9.99,282736424219,EBAY-US,Jars,PayPal,"Old Fields,WV,USA",Active,2017-11-16,2017-12-16
